epid,country,first_name,last_name,birthdate,gender,eugroup,party
96787,Italy,Herbert,DORFMANN,04/03/1969,M,PPE,Südtiroler Volkspartei (Partito popolare sudtirolese)
39769,Austria,Martin,EHRENHAUSER,18/09/1978,M,NA/NI,-
96682,Finland,Sari,ESSAYAH,21/02/1967,F,PPE,Suomen kristillisdemokraatit
96811,Spain,Rosa,ESTARÀS FERRAGUT,21/10/1965,F,PPE,Partido Popular
96977,Portugal,Diogo,FEIO,06/10/1970,M,PPE,Partido Popular
96899,Portugal,José Manuel,FERNANDES,26/07/1967,M,PPE,Partido Social Democrata
96833,Germany,Jens,GEIER,22/06/1961,M,S&D,Sozialdemokratische Partei Deutschlands
96730,Germany,Sven,GIEGOLD,17/11/1969,M,Verts/ALE,Bündnis 90/Die Grünen
97004,Latvia,Ivars,GODMANIS,27/11/1951,M,ALDE,Latvijas Pirmā Partija/Latvijas Ceļš
97137,France,Sylvie,GOULARD,06/12/1964,F,ALDE,Mouvement Démocrate
96753,Poland,Jolanta Emilia,HIBNER,26/01/1951,F,PPE,Platforma Obywatelska
96950,France,Liem,HOANG NGOC,11/12/1964,M,S&D,Parti socialiste
34235,Bulgaria,Stanimir,ILCHEV,31/07/1953,M,ALDE,National Movement for Stability and Progress
105192,Spain,María,IRIGOYEN PÉREZ,01/10/1952,F,S&D,Partido Socialista Obrero Español
28424,Estonia,Tunne,KELAM,10/07/1936,M,PPE,Erakond Isamaa ja Res Publica Liit
96668,Ireland,Seán,KELLY,26/04/1952,M,PPE,Fine Gael Party
96769,Germany,Jürgen,KLUTE,13/10/1953,M,GUE/NGL,DIE LINKE.
102887,Hungary,Béla,KOVÁCS,25/02/1960,M,NA/NI,Jobbik Magyarországért Mozgalom
96651,Slovakia,Eduard,KUKAN,26/12/1939,M,PPE,Slovenská demokratická a kresťanská únia - Demokratická strana
96765,Spain,Verónica,LOPE FONTAGNÉ,01/02/1952,F,PPE,Partido Popular
96854,Germany,Sabine,LÖSING,30/11/1955,F,GUE/NGL,DIE LINKE.
96675,Sweden,Isabella,LÖVIN,03/02/1963,F,Verts/ALE,Miljöpartiet de gröna
96673,Sweden,Olle,LUDVIGSSON,28/10/1948,M,S&D,Arbetarepartiet- Socialdemokraterna
96792,Poland,Bogdan Kazimierz,MARCINKIEWICZ,21/03/1966,M,PPE,Platforma Obywatelska
96652,Slovakia,Alajos,MÉSZÁROS,18/06/1952,M,PPE,Strana mad'arskej komunity- Magyar Közösség Pártja
28255,Austria,Andreas,MÖLZER,02/12/1952,M,NA/NI,Freiheitliche Partei Österreichs
96695,Lithuania,Radvilė,MORKŪNAITĖ-MIKULĖNIENĖ,02/01/1984,F,PPE,Tėvynės sąjunga - Lietuvos krikščionys demokratai
96760,Italy,Tiziano,MOTTI,07/02/1966,M,PPE,Unione dei Democratici cristiani e dei Democratici di Centro
96701,Spain,María,MUÑIZ DE URQUIZA,05/08/1962,F,S&D,Partido Socialista Obrero Español
96844,Germany,Norbert,NEUSER,22/03/1949,M,S&D,Sozialdemokratische Partei Deutschlands
96861,Bulgaria,Nadezhda,NEYNSKY,09/08/1962,F,PPE,Blue Coalition
111024,Sweden,Jens,NILSSON,25/09/1948,M,S&D,Arbetarepartiet- Socialdemokraterna
96805,United Kingdom,Paul,NUTTALL,30/11/1976,M,EFD,United Kingdom Independence Party
40599,Finland,Sirpa,PIETIKÄINEN,19/04/1959,F,PPE,Kansallinen Kokoomus
96715,Czech Republic,Pavel,POC,26/05/1964,M,S&D,Česká strana sociálně demokratická
96931,France,Maurice,PONGA,05/06/1947,M,PPE,Union pour un Mouvement Populaire
96801,Poland,Tomasz Piotr,PORĘBA,31/03/1973,M,ECR,Prawo i Sprawiedliwość
96838,Romania,Cristian Dan,PREDA,26/10/1966,M,PPE,-
107386,Ireland,Phil,PRENDERGAST,20/09/1959,F,S&D,Labour Party
108080,France,Franck,PROUST,02/05/1963,M,PPE,Union pour un Mouvement Populaire
96903,Portugal,Paulo,RANGEL,18/02/1968,M,PPE,Partido Social Democrata
96686,Finland,Mitro,REPO,03/09/1958,M,S&D,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
97022,France,Robert,ROCHEFORT,19/09/1955,M,ALDE,Mouvement Démocrate
96746,France,Marie-Thérèse,SANCHEZ-SCHMID,15/11/1957,F,PPE,Union pour un Mouvement Populaire
96676,Sweden,Christian,ENGSTRÖM,09/02/1960,M,Verts/ALE,Piratpartiet
112611,Finland,Petri,SARVAMAA,15/09/1960,M,PPE,Kansallinen Kokoomus
30482,France,Younous,OMARJEE,30/09/1969,M,GUE/NGL,"Liste ""Alliance des Outre-Mers"""
111068,France,Jean,ROATTA,13/12/1941,M,PPE,Union pour un Mouvement Populaire
96992,Italy,Magdi Cristiano,ALLAM,22/04/1952,M,EFD,"""Io amo l'Italia"""
111496,Spain,María Auxiliadora,CORREA ZAMORA,24/05/1972,F,PPE,Partido Popular
112788,Germany,Birgit,COLLIN-LANGEN,04/09/1956,F,PPE,Christlich Demokratische Union Deutschlands
96744,France,José,BOVÉ,11/06/1953,M,Verts/ALE,Europe Écologie
114279,France,Isabelle,THOMAS,26/11/1961,F,S&D,Parti socialiste
113890,France,Karim,ZÉRIBI,25/09/1966,M,Verts/ALE,Europe Écologie
113597,Romania,Minodora,CLIVETI,24/10/1955,F,S&D,Partidul Social Democrat
113883,Hungary,Erik,BÁNKI,26/05/1970,M,PPE,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
113892,France,Eric,ANDRIEU,14/04/1960,M,S&D,Parti socialiste
96947,France,Nora,BERRA,21/01/1963,F,PPE,Union pour un Mouvement Populaire
113891,France,Jean-Jacob,BICEP,23/06/1965,M,Verts/ALE,Europe Écologie
114268,Finland,Nils,TORVALDS,07/08/1945,M,ALDE,Svenska folkpartiet
114873,Czech Republic,Vojtěch,MYNÁŘ,04/05/1944,M,S&D,Česká strana sociálně demokratická
96959,United Kingdom,George,LYON,16/07/1956,M,ALDE,Liberal Democrats Party
116663,Bulgaria,Monika,PANAYOTOVA,19/08/1983,F,PPE,Citizens for European Development of Bulgaria
99419,Greece,Charalampos,ANGOURAKIS,19/01/1951,M,GUE/NGL,Communist Party of Greece
115868,Netherlands,Patricia van der,KAMMEN,08/04/1972,F,NA/NI,Partij voor de Vrijheid
111017,Spain,Dolores,GARCÍA-HIERRO CARABALLO,16/05/1958,F,S&D,Partido Socialista Obrero Español
96860,France,Michèle,STRIFFLER,23/08/1957,F,PPE,Parti Radical / Union des Démocrates et Indépendants
116823,Italy,Francesca,BARRACCIU,11/06/1966,F,S&D,Partito Democratico
113959,United Kingdom,Martina,ANDERSON,16/04/1962,F,GUE/NGL,Sinn Féin
96702,Romania,Elena Oana,ANTONESCU,30/12/1979,F,PPE,Partidul Democrat-Liberal
116816,Bulgaria,Preslav,BORISSOV,07/03/1977,M,PPE,Citizens for European Development of Bulgaria
94283,United Kingdom,Trevor,COLMAN,27/08/1941,M,NA/NI,United Kingdom Independence Party
96726,Netherlands,Marije,CORNELISSEN,09/03/1974,F,Verts/ALE,GroenLinks
96868,France,Karima,DELLI,04/03/1979,F,Verts/ALE,Europe Écologie
117477,Belgium,Mark,DEMESMAEKER,12/09/1958,M,Verts/ALE,Nieuw-Vlaamse Alliantie
96725,Netherlands,Bas,EICKHOUT,08/10/1976,M,Verts/ALE,GroenLinks
96745,France,Catherine,GRÈZE,15/04/1960,F,Verts/ALE,Europe Écologie
96648,Belgium,Philippe,LAMBERTS,14/03/1963,M,Verts/ALE,Ecologistes Confédérés pour l'Organisation de Luttes Originales
118144,Cyprus,Andreas,PITSILLIDES,09/06/1977,M,PPE,Democratic Rally
113487,Portugal,Alda,SOUSA,04/08/1953,F,GUE/NGL,Bloco de Esquerda
118710,Italy,Franco,BONANINI,07/11/1952,M,NA/NI,Indipendente
111014,Austria,Josef,WEIDENHOLZER,06/03/1950,M,S&D,Sozialdemokratische Partei Österreichs
118708,Italy,Susy,DE MARTINI,17/06/1952,F,ECR,Forza Italia
103246,Netherlands,Auke,ZIJLSTRA,01/11/1964,M,NA/NI,Partij voor de Vrijheid
119439,Croatia,Marino,BALDINI,12/07/1963,M,S&D,Socijaldemokratska partija Hrvatske
28497,United Kingdom,Gerard,BATTEN,27/03/1954,M,EFD,United Kingdom Independence Party
28336,Czech Republic,Věra,FLASAROVÁ,19/12/1952,F,GUE/NGL,Komunistická strana Čech a Moravy
37448,Romania,Eduard-Raul,HELLVIG,27/10/1974,M,ALDE,Partidul Naţional Liberal
96704,Czech Republic,Edvard,KOŽUŠNÍK,30/01/1971,M,ECR,Občanská demokratická strana
119441,Croatia,Sandra,PETROVIĆ JAKOVINA,21/03/1985,F,S&D,Socijaldemokratska partija Hrvatske
33991,Romania,Ovidiu Ioan,SILAGHI,12/12/1962,M,ALDE,Partidul Naţional Liberal
4293,Germany,Gabriele,STAUNER,22/04/1948,F,PPE,Christlich-Soziale Union in Bayern e.V.
119440,Croatia,Oleg,VALJALO,19/11/1970,M,S&D,Socijaldemokratska partija Hrvatske
96944,United Kingdom,Marina,YANNAKOUDAKIS,16/04/1956,F,ECR,Conservative Party
117119,Romania,Dan Dumitru,ZAMFIRESCU,01/11/1953,M,NA/NI,Partidul România Mare
118709,Italy,Fabrizio,BERTOT,23/02/1967,M,PPE,Forza Italia
96815,Netherlands,Judith,SARGENTINI,13/03/1974,F,Verts/ALE,GroenLinks
96696,Lithuania,Algirdas,SAUDARGAS,17/04/1948,M,PPE,Tėvynės sąjunga - Lietuvos krikščionys demokratai
96945,Netherlands,Marietje,SCHAAKE,28/10/1978,F,ALDE,Democraten 66
96827,Germany,Birgit,SCHNIEBER-JASTRAM,04/07/1946,F,PPE,Christlich Demokratische Union Deutschlands
96731,Germany,Werner,SCHULZ,22/01/1950,M,Verts/ALE,Bündnis 90/Die Grünen
96836,Germany,Peter,SIMON,04/04/1967,M,S&D,Sozialdemokratische Partei Deutschlands
96655,Slovakia,Monika,SMOLKOVÁ,06/10/1956,F,S&D,SMER-Sociálna demokracia
96678,Sweden,Alf,SVENSSON,01/10/1938,M,PPE,Kristdemokraterna
96920,United Kingdom,Kay,SWINBURNE,08/06/1967,F,ECR,Conservative Party
96847,Romania,Claudiu Ciprian,TĂNĂSESCU,19/07/1965,M,S&D,Partidul Social Democrat
97136,Estonia,Indrek,TARAND,03/02/1964,M,Verts/ALE,Sõltumatu
96974,Portugal,Nuno,TEIXEIRA,13/01/1973,M,PPE,Partido Social Democrata
96776,Poland,Róża Gräfin von,THUN UND HOHENSTEIN,13/04/1954,F,PPE,Platforma Obywatelska
97026,France,Patrice,TIROLIEN,17/03/1946,M,S&D,Parti socialiste
96756,Germany,Sabine,VERHEYEN,24/10/1964,F,PPE,Christlich Demokratische Union Deutschlands
96839,Germany,Kerstin,WESTPHAL,11/09/1962,F,S&D,Sozialdemokratische Partei Deutschlands
96741,Germany,Sabine,WILS,31/05/1959,F,GUE/NGL,DIE LINKE.
96764,Germany,Hermann,WINKLER,22/04/1963,M,PPE,Christlich Demokratische Union Deutschlands
39725,Romania,Iuliu,WINKLER,14/03/1964,M,PPE,Uniunea Democrată Maghiară din România
96656,Slovakia,Boris,ZALA,09/12/1954,M,S&D,SMER-Sociálna demokracia
96795,Poland,Jacek Olgierd,KURSKI,22/02/1966,M,EFD,Solidarna Polska
97344,Ireland,Paul,MURPHY,13/04/1983,M,GUE/NGL,Socialist Party
96900,Greece,Georgios,PAPANIKOLAOU,15/08/1977,M,PPE,Nea Demokratia
96758,Germany,Gerald,HÄFNER,03/11/1956,M,Verts/ALE,Bündnis 90/Die Grünen
96872,Germany,Nadja,HIRSCH,13/07/1978,F,ALDE,Freie Demokratische Partei
96693,Lithuania,Juozas,IMBRASAS,08/01/1941,M,EFD,Partija Tvarka ir teisingumas
96812,Spain,Juan Fernando,LÓPEZ AGUILAR,10/06/1961,M,S&D,Partido Socialista Obrero Español
34234,Bulgaria,Antonyia,PARVANOVA,26/04/1962,F,ALDE,National Movement for Stability and Progress
96658,Greece,Konstantinos,POUPAKIS,18/01/1951,M,PPE,Nea Demokratia
108570,Sweden,Amelia,ANDERSDOTTER,30/08/1987,F,Verts/ALE,Piratpartiet
97193,Italy,Antonello,ANTINORO,03/08/1960,M,PPE,Unione dei Democratici cristiani e dei Democratici di Centro
97009,Greece,Kriton,ARSENIS,03/08/1977,M,S&D,-
96732,France,Malika,BENARAB-ATTOU,25/03/1963,F,Verts/ALE,Europe Écologie
96912,United Kingdom,David,CAMPBELL BANNERMAN,28/05/1960,M,ECR,Conservative Party
96866,Italy,Salvatore,CARONNA,05/03/1964,M,S&D,Partito Democratico
26851,Greece,Nikolaos,CHOUNTIS,17/09/1953,M,GUE/NGL,Coalition of the Radical Left
111823,Greece,Nikos,CHRYSOGELOS,13/05/1959,M,Verts/ALE,Ecologist Greens
96775,Italy,Lara,COMI,18/02/1983,F,PPE,Forza Italia
96786,Poland,Tadeusz,CYMAŃSKI,06/06/1955,M,EFD,Solidarna Polska
96747,France,Arnaud,DANJEAN,11/02/1971,M,PPE,Union pour un Mouvement Populaire
109337,Belgium,Philippe,DE BACKER,04/12/1978,M,ALDE,Open Vlaamse Liberalen en Democraten
28256,Belgium,Jean-Luc,DEHAENE,07/08/1940,M,PPE,Christen-Democratisch & Vlaams
96914,Belgium,Anne,DELVAUX,20/10/1970,F,PPE,Centre Démocrate Humaniste
107977,Greece,Dimitrios,DROUTSAS,05/08/1968,M,S&D,Panhellenic Socialist Movement
23840,Czech Republic,Richard,FALBR,29/09/1940,M,S&D,Česká strana sociálně demokratická
28126,Sweden,Christofer,FJELLNER,13/12/1976,M,PPE,Moderata Samlingspartiet
96993,Italy,Lorenzo,FONTANA,10/04/1980,M,EFD,Lega Nord
96949,United Kingdom,Vicky,FORD,21/09/1967,F,ECR,Conservative Party
96957,United Kingdom,Ashley,FOX,15/11/1969,M,ECR,Conservative Party
96940,Netherlands,Gerben-Jan,GERBRANDY,28/06/1967,M,ALDE,Democraten 66
96956,United Kingdom,Julie,GIRLING,21/12/1956,F,ECR,Conservative Party
96790,Poland,Marek Józef,GRÓBARCZYK,13/03/1968,M,ECR,Prawo i Sprawiedliwość
96768,Spain,Enrique,GUERRERO SALOM,28/08/1948,M,S&D,Partido Socialista Obrero Español
96952,France,Sylvie,GUILLAUME,11/06/1962,F,S&D,Parti socialiste
109649,Sweden,Mikael,GUSTAFSSON,06/03/1966,M,GUE/NGL,Vänsterpartiet
96907,Cyprus,Takis,HADJIGEORGIOU,11/12/1956,M,GUE/NGL,Progressive Party of Working People - Left - New Forces
28233,Germany,Rebecca,HARMS,07/12/1956,F,Verts/ALE,Bündnis 90/Die Grünen
28321,Finland,Satu,HASSI,03/06/1951,F,Verts/ALE,Vihreä liitto
110365,Sweden,Kent,JOHANSSON,27/12/1951,M,ALDE,Centerpartiet
96883,France,Eva,JOLY,05/12/1943,F,Verts/ALE,Europe Écologie
28280,Poland,Filip,KACZMAREK,22/11/1966,M,PPE,Platforma Obywatelska
96807,Bulgaria,Ivailo,KALFIN,30/05/1964,M,S&D,Coalition for Bulgaria
96901,Latvia,Krišjānis,KARIŅŠ,13/12/1964,M,PPE,Vienotība
96734,Germany,Franziska,KELLER,22/11/1981,F,Verts/ALE,Bündnis 90/Die Grünen
97011,Greece,Georgios,KOUMOUTSAKOS,17/09/1961,M,PPE,Nea Demokratia
97968,Bulgaria,Andrey,KOVATCHEV,13/12/1967,M,PPE,Citizens for European Development of Bulgaria
96820,Portugal,Marisa,MATIAS,20/02/1976,F,GUE/NGL,Bloco de Esquerda
96936,Spain,Gabriel,MATO ADROVER,29/04/1961,M,PPE,Partido Popular
96663,Denmark,Morten,MESSERSCHMIDT,13/11/1980,M,EFD,Dansk Folkeparti
97020,Italy,Guido,MILANA,02/03/1954,M,S&D,Partito Democratico
97280,Italy,Claudio,MORGANTI,14/04/1973,M,EFD,Indipendente
28288,Poland,Jan,OLBRYCHT,21/09/1952,M,PPE,Platforma Obywatelska
96783,Poland,Wojciech Michał,OLEJNICZAK,10/04/1974,M,S&D,Sojusz Lewicy Demokratycznej
97007,Greece,Chrysoula,PALIADELI,08/07/1947,F,S&D,Panhellenic Socialist Movement
97050,Cyprus,Antigoni,PAPADOPOULOU,08/07/1954,F,S&D,Democratic Party
33984,Romania,Ioan Mircea,PAŞCU,17/02/1949,M,S&D,Partidul Social Democrat
96989,Spain,Andrés,PERELLÓ RODRÍGUEZ,01/07/1957,M,S&D,Partido Socialista Obrero Español
96925,Greece,Sylvana,RAPTI,10/11/1958,F,S&D,Panhellenic Socialist Movement
96885,France,Dominique,RIQUET,18/09/1946,M,PPE,Parti Radical
96710,Denmark,Jens,ROHDE,18/04/1970,M,ALDE,"Venstre, Danmarks Liberale Parti"
96819,Italy,Licia,RONZULLI,14/09/1975,F,PPE,Forza Italia
99416,Greece,Nikolaos,SALAVRAKOS,15/02/1946,M,EFD,Popular Orthodox Rally - G. Karatzaferis
96770,Poland,Joanna Katarzyna,SKRZYDLEWSKA,17/02/1977,F,PPE,Platforma Obywatelska
97018,Greece,Theodoros,SKYLAKAKIS,18/10/1959,M,ALDE,Drassi
97008,Greece,Georgios,STAVRAKAKIS,13/10/1954,M,S&D,Panhellenic Socialist Movement
39721,Romania,Theodor Dumitru,STOLOJAN,24/10/1943,M,PPE,Partidul Democrat-Liberal
28320,Czech Republic,Ivo,STREJČEK,11/01/1962,M,ECR,Občanská demokratická strana
96703,Denmark,Emilie,TURUNEN,13/05/1984,F,S&D,Socialdemokratiet
96660,Greece,Niki,TZAVELA,30/06/1947,F,EFD,Popular Orthodox Rally - G. Karatzaferis
97131,Italy,Giommaria,UGGIAS,29/03/1961,M,ALDE,Italia dei Valori - Lista Di Pietro
28221,Germany,Thomas,ULMER,25/07/1956,M,PPE,Christlich Demokratische Union Deutschlands
96858,France,Marie-Christine,VERGIAT,23/09/1956,F,GUE/NGL,Front de gauche pour changer d’Europe
96774,Poland,Jarosław Leszek,WAŁĘSA,13/09/1976,M,PPE,Platforma Obywatelska
96763,Spain,Pablo,ZALBA BIDEGAIN,28/01/1975,M,PPE,Partido Popular
96777,Poland,Paweł,ZALEWSKI,25/09/1964,M,PPE,Platforma Obywatelska
108329,Italy,Andrea,ZANONI,26/08/1965,M,ALDE,-
96933,Slovenia,Milan,ZVER,25/05/1962,M,PPE,Slovenska demokratska stranka
96814,Romania,Elena,BĂSESCU,24/04/1980,F,PPE,Partidul Democrat-Liberal
96878,Hungary,Lajos,BOKROS,26/06/1954,M,ECR,Modern Magyarország Mozgalom
96739,Germany,Reinhard,BÜTIKOFER,26/01/1953,M,Verts/ALE,Bündnis 90/Die Grünen
99325,Greece,Spyros,DANELLIS,28/01/1955,M,S&D,Panhellenic Socialist Movement
96859,Romania,Ioan,ENCIU,14/04/1953,M,S&D,Partidul Social Democrat
96852,Germany,Cornelia,ERNST,30/11/1956,F,GUE/NGL,DIE LINKE.
39321,Spain,Vicente Miguel,GARCÉS RAMÓN,10/11/1946,M,S&D,Partido Socialista Obrero Español
96991,Spain,Eider,GARDIAZÁBAL RUBIAL,12/07/1975,F,S&D,Partido Socialista Obrero Español
28266,Netherlands,Sophia in 't,VELD,13/09/1963,F,ALDE,Democraten 66
28314,Finland,Anneli,JÄÄTTEENMÄKI,11/02/1955,F,ALDE,Suomen Keskusta
105849,France,Agnès,LE BRUN,28/12/1961,F,PPE,Union pour un Mouvement Populaire
96709,Denmark,Morten,LØKKEGAARD,20/12/1964,M,ALDE,"Venstre, Danmarks Liberale Parti"
96825,Romania,Norica,NICOLAI,27/01/1958,F,ALDE,Partidul Naţional Liberal
97229,Italy,Niccolò,RINALDI,03/12/1962,M,ALDE,Italia dei Valori - Lista Di Pietro
111018,Spain,Salvador,SEDÓ i ALABART,03/04/1969,M,PPE,Unió Democràtica de Catalunya
97019,Slovenia,Ivo,VAJGL,03/03/1943,M,ALDE,ZARES-Nova Politika
111589,Portugal,Inês Cristina,ZUBER,11/03/1980,F,GUE/NGL,Partido Comunista Português
96803,Poland,Zbigniew,ZIOBRO,18/08/1970,M,EFD,Solidarna Polska
111019,Spain,Eva,ORTIZ VILELLA,16/10/1975,F,PPE,Partido Popular
111026,Austria,Ewald,STADLER,21/05/1961,M,NA/NI,Bündnis Zukunft Österreich
112620,United Kingdom,Rebecca,TAYLOR,10/08/1975,F,ALDE,Liberal Democrats Party
96908,France,Gaston,FRANCO,04/02/1944,M,PPE,Union pour un Mouvement Populaire
23785,Poland,Andrzej,GRZYB,23/08/1956,M,PPE,Polskie Stronnictwo Ludowe
96813,Italy,Barbara,MATERA,09/12/1981,F,PPE,Forza Italia
96997,Germany,Burkhard,BALZ,24/07/1969,M,PPE,Christlich Demokratische Union Deutschlands
96779,Poland,Danuta Maria,HÜBNER,08/04/1948,F,PPE,Platforma Obywatelska
96871,Germany,Michael,THEURER,12/01/1967,M,ALDE,Freie Demokratische Partei
33997,Romania,Corina,CREŢU,24/06/1967,F,S&D,Partidul Social Democrat
97296,France,Michel,DANTIN,15/01/1960,M,PPE,Union pour un Mouvement Populaire
96998,Austria,Evelyn,REGNER,24/01/1966,F,S&D,Sozialdemokratische Partei Österreichs
96843,Italy,Marco,SCURRIA,18/05/1967,M,PPE,Fratelli d'Italia - Centrodestra Nazionale
101580,France,Constance,LE GRIP,14/11/1960,F,PPE,Union pour un Mouvement Populaire
105624,France,Philippe,BOULLAND,18/08/1955,M,PPE,Union pour un Mouvement Populaire
28324,Czech Republic,Milan,CABRNOCH,06/08/1962,M,ECR,Občanská demokratická strana
96826,Hungary,Tamás,DEUTSCH,27/07/1966,M,PPE,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
96896,France,Marielle,GALLO,19/05/1949,F,PPE,Union des Démocrates et Indépendants
96684,Finland,Liisa,JAAKONSAARI,02/09/1945,F,S&D,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
4246,Austria,Othmar,KARAS,24/12/1957,M,PPE,Österreichische Volkspartei
96800,Poland,Marek Henryk,MIGALSKI,14/01/1969,M,ECR,Polska Razem Jarosława Gowina
96889,Italy,Potito,SALATTO,22/01/1942,M,PPE,Popolari per l’Europa
96918,United Kingdom,Derek,VAUGHAN,02/05/1961,M,S&D,Labour Party
112071,Ireland,Emer,COSTELLO,03/09/1962,F,S&D,Labour Party
111027,Bulgaria,Svetoslav Hristov,MALINOV,19/01/1968,M,PPE,Blue Coalition
96749,United Kingdom,Andrew Henry William,BRONS,16/06/1947,M,NA/NI,British Democratic Party
4553,United Kingdom,Jacqueline,FOSTER,30/12/1947,F,ECR,Conservative Party
96735,France,Patrick,LE HYARIC,04/02/1957,M,GUE/NGL,Front de gauche pour changer d’Europe
96831,Germany,Jutta,STEINRUCK,01/09/1962,F,S&D,Sozialdemokratische Partei Deutschlands
4462,Italy,Clemente,MASTELLA,05/02/1947,M,PPE,Unione Democratici per l'Europa
96999,Latvia,Alexander,MIRSKY,20/03/1964,M,S&D,"Politiskā Partija ""Alternative"""
96875,Germany,Britta,REIMERS,27/07/1971,F,ALDE,Freie Demokratische Partei
96685,Finland,Riikka,PAKARINEN,24/08/1981,F,ALDE,Suomen Keskusta
4556,United Kingdom,Nirj,DEVA,11/05/1948,M,ECR,Conservative Party
96780,Germany,Monika,HOHLMEIER,02/07/1962,F,PPE,Christlich-Soziale Union in Bayern e.V.
28171,Netherlands,Emine,BOZKURT,09/08/1967,F,S&D,Partij van de Arbeid
28311,Portugal,Luis Manuel,CAPOULAS SANTOS,22/08/1951,M,S&D,Partido Socialista
96848,Bulgaria,Mariya,GABRIEL,20/05/1979,F,PPE,Citizens for European Development of Bulgaria
28177,France,Bernadette,VERGNAUD,16/09/1950,F,S&D,Parti socialiste
96874,Germany,Alexandra,THEIN,05/10/1963,F,ALDE,Freie Demokratische Partei
41007,Italy,Iva,ZANICCHI,18/01/1940,F,PPE,Forza Italia
96802,Poland,Jacek,WŁOSOWICZ,25/01/1966,M,EFD,Solidarna Polska
97086,Italy,Sonia,ALFANO,15/10/1971,F,ALDE,Italia dei Valori - Lista Di Pietro
96892,Italy,Roberto,GUALTIERI,19/07/1966,M,S&D,Partito Democratico
96862,France,Sophie,AUCONIE,19/08/1963,F,PPE,Union des Démocrates et Indépendants
96736,Germany,Jan Philipp,ALBRECHT,20/12/1982,M,Verts/ALE,Bündnis 90/Die Grünen
96750,France,François,ALFONSI,14/09/1953,M,Verts/ALE,Partitu di a Nazione Corsa
28246,Germany,Alexander,ALVARO,26/05/1975,M,ALDE,Freie Demokratische Partei
96954,United Kingdom,Marta,ANDREASEN,26/11/1954,F,ECR,-
96986,Spain,Josefa,ANDRÉS BAREA,17/02/1958,F,S&D,Partido Socialista Obrero Español
28276,Lithuania,Laima Liucija,ANDRIKIENĖ,01/01/1958,F,PPE,Tėvynės sąjunga - Lietuvos krikščionys demokratai
1941,Italy,Roberta,ANGELILLI,01/02/1965,F,PPE,Nuovo Centrodestra
28422,Italy,Alfredo,ANTONIOZZI,18/03/1956,M,PPE,Nuovo Centrodestra
97228,Italy,Pino,ARLACCHI,21/02/1951,M,S&D,Partito Democratico
28132,United Kingdom,Richard,ASHWORTH,17/09/1947,M,ECR,Conservative Party
4537,United Kingdom,Sir Robert,ATKINS,05/02/1946,M,ECR,Conservative Party
23938,Malta,John,ATTARD-MONTALTO,07/02/1953,M,S&D,Partit Laburista
33775,France,Jean-Pierre,AUDY,12/06/1952,M,PPE,Union pour un Mouvement Populaire
