epid,firstname,lastname,active,start,end,birthdate,country,gender,eugroup,party,email,twitter,term,voteid,ep2024
239258,Maria Angela,DANZÌ,1,2022-11-02,,1957-07-05,it,,NA,Movimento 5 Stelle,,,9,7314,v4sk
239257,Achille,VARIATI,1,2022-11-02,,1953-01-19,it,,S&D,Partito Democratico,,,9,7313,
239256,Paola,GHIDONI,1,2022-11-02,,1963-07-08,it,,ID,Lega,,,9,7312,
239255,Matteo,GAZZINI,1,2023-12-07,,1985-07-09,it,,EPP,Independent,,,9,7311,5wz
238674,Theresa,BIELOWSKI,1,2022-10-10,,1984-06-15,at,,S&D,Sozialdemokratische Partei Österreichs,,,9,7310,mws
238639,Johan,NISSINEN,1,2022-10-11,,1989-05-17,se,,ECR,Sverigedemokraterna,,,9,7309,jwt
237779,Carina,OHLSSON,1,2022-09-26,,1957-06-14,se,,S&D,Arbetarepartiet- Socialdemokraterna,,,9,7308,
237465,Matthias,ECKE,1,2022-10-03,,1983-04-12,de,,S&D,Sozialdemokratische Partei Deutschlands,,,9,7307,t4v2
237320,Eva Maria,POPTCHEVA,1,2022-09-15,,1979-10-17,es,,Renew,Ciudadanos – Partido de la Ciudadanía,,,9,7306,
237224,João,ALBUQUERQUE,1,2022-09-13,,1986-12-25,pt,,S&D,Partido Socialista,,,9,7305,
236053,Marina,MESURE,1,2022-07-29,,1989-07-12,fr,,GUE/NGL,La France Insoumise,,,9,7303,zwk
236052,Patricia,CHAGNON,1,2022-07-29,,1963-11-20,fr,,ID,Rassemblement national,,,9,7302,1wj
236051,Eric,MINARDI,1,2022-07-29,,1956-03-18,fr,,ID,Rassemblement national,,,9,7301,3wh
236050,Marie,DAUCHY,1,2022-07-29,,1987-02-05,fr,,ID,Rassemblement national,,,9,7300,xwm
234344,Max,ORVILLE,1,2022-05-20,,1962-06-19,fr,,Renew,Mouvement Démocrate,,,9,7299,6wg
233862,Matjaž,NEMEC,1,2022-05-18,,1980-04-10,si,,S&D,Socialni demokrati,,,9,7298,8wf
232843,Jan,OVELGÖNNE,1,2024-03-12,,1975-06-30,de,,Greens/EFA,Bündnis 90/Die Grünen,,,9,7348,
230085,Camilla,LAURETI,1,2022-01-12,,1975-05-20,it,,S&D,Partito Democratico,,,9,7297,bwe
229839,René,REPASI,1,2022-02-02,,1979-11-08,de,,S&D,Sozialdemokratische Partei Deutschlands,,,9,7296,dwd
229519,Catharina,RINZEMA,1,2022-01-18,,1985-07-04,nl,,Renew,Volkspartij voor Vrijheid en Democratie,,,9,7295,
229352,Malte,GALLÉE,1,2021-12-22,2024-03-10,1993-09-05,de,,NI,Bündnis 90/Die Grünen,,,9,7294,hwb
228604,Ilan,DE BASSO,1,2021-12-13,,,se,,S&D,Arbetarepartiet- Socialdemokraterna,,,9,7293,nw8
228286,Karsten,LUCKE,1,2022-01-11,,1974-12-29,de,,S&D,Sozialdemokratische Partei Deutschlands,,,9,7292,54vd
226260,Karolin,BRAUNSBERGER-REINHOLD,1,2021-10-07,,1986-11-03,de,,EPP,Christlich Demokratische Union Deutschlands,,,9,7291,
221463,Ladislav,ILČIĆ,1,2022-03-22,,1970-08-04,hr,,ECR,Hrvatski suverenisti,,,9,7290,sw6
218349,Michiel,HOOGEVEEN,1,2021-04-15,,,nl,,ECR,JA21,,,9,7289,
218347,Thijs,REUTEN,1,2021-04-15,,,nl,,S&D,Partij van de Arbeid,,,9,7288,uw5
214839,Emma,WIESNER,1,2021-02-04,,1992-11-11,se,,Renew,Centerpartiet,,,9,7287,2w1
213330,Ernő,SCHALLER-BAROSS,1,2021-01-10,,,hu,,NA,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,,9,7286,
212855,Alin,MITUȚA,1,2022-05-31,,1984-05-24,ro,,Renew,Reînnoim Proiectul European al României,,,9,7285,
209896,Colm,MARKEY,1,2020-11-20,,1972-01-03,ie,,EPP,Fine Gael Party,,,9,7284,4w0
209140,Vlad,GHEORGHE,1,2024-02-05,,1985-02-22,ro,,Renew,Independent,,,9,7283,58hx
209091,Cyrus,ENGERER,1,2020-11-05,,1981-09-28,mt,,S&D,Partit Laburista,,,9,7282,
208722,Sara,MATTHIEU,1,2020-10-08,,1981-05-21,be,,Greens/EFA,Groen,,,9,7281,bvx
206158,Manuela,RIPA,1,2020-07-16,,,de,,Greens/EFA,Ökologisch-Demokratische Partei,,,9,7280,m4x4
205452,Chris,MACMANUS,1,2020-03-06,,1973-03-13,ie,,GUE/NGL,Sinn Féin,,,9,7279,fvv
204733,Dorien,ROOKMAKER,1,2021-09-25,,1964-07-30,nl,,ECR,Meer Directe Democratie,,,9,7278,
204449,Riho,TERRAS,1,2020-02-01,,1967-04-17,ee,,EPP,Isamaa,,,9,7277,qvr
204443,Clara,PONSATÍ OBIOLS,1,2020-02-01,,1957-03-19,es,,NA,Junts per Catalunya - Lliures per Europa,,,9,7276,
204421,Jean-Lin,LACAPELLE,1,2020-02-01,,1967-04-17,fr,,ID,Rassemblement national,,,9,7275,4vh
204420,Claude,GRUFFAT,1,2020-02-01,,1957-09-13,fr,,Greens/EFA,Europe Écologie,,,9,7274,cve
204419,Sandro,GOZI,1,2020-02-01,,1968-03-25,fr,,Renew,Liste Renaissance,,,9,7273,9vf
204418,Nora,MEBAREK,1,2020-02-01,,1972-07-22,fr,,S&D,Parti socialiste,,,9,7272,0vk
204416,Ilana,CICUREL,1,2020-02-01,,1972-02-08,fr,,Renew,Liste Renaissance,,,9,7271,jvb
204414,Margarita,DE LA PISA CARRIÓN,1,2020-02-01,,1975-09-19,es,,ECR,VOX,,,9,7270,
204413,Marcos,ROS SEMPERE,1,2020-02-01,,1974-03-24,es,,S&D,Partido Socialista Obrero Español,,,9,7269,wvn
204400,Adrián,VÁZQUEZ LÁZARA,1,2020-02-01,,1982-05-05,es,,Renew,Ciudadanos – Partido de la Ciudadanía,,,9,7268,nvs
204371,Heather,ANDERSON,1,2020-01-27,2020-01-31,1959-01-31,gb,,Greens/EFA,Scottish National Party,,,9,7267,
204368,Christian,SAGARTZ,1,2020-01-23,,1981-01-16,at,,EPP,Österreichische Volkspartei,,,9,7266,
204346,Dominik,TARCZYŃSKI,1,2020-02-01,,,pl,,ECR,Prawo i Sprawiedliwość,,,9,7265,svq
204336,Miriam,LEXMANN,1,2020-02-01,,1972-12-02,sk,,EPP,Kresťanskodemokratické hnutie,,,9,7264,7vg
204335,Alviina,ALAMETSÄ,1,2020-02-01,,1992-09-29,fi,,Greens/EFA,Vihreä liitto,,,9,7263,
204334,Vincenzo,SOFO,1,2021-06-07,,1986-12-18,it,,ECR,FRATELLI D' ITALIA,,,9,7262,
204333,Salvatore,DE MEO,1,2020-02-01,,1971-10-27,it,,EPP,Forza Italia,,,9,7261,evd
204332,Barry,ANDREWS,1,2020-02-01,,1967-05-16,ie,,Renew,Fianna Fáil Party,,,9,7260,
204331,Linea,SØGAARD-LIDELL,1,2020-02-01,2022-11-14,1987-03-30,dk,,Renew,"Venstre, Danmarks Liberale Parti",,,9,7259,
202352,Antoni,COMÍN I OLIVERES,1,2019-07-02,,1971-03-07,es,,NA,Junts per Catalunya - Lliures per Europa,,,9,7258,
202351,Carles,PUIGDEMONT I CASAMAJÓ,1,2019-07-02,,,es,,NA,Junts per Catalunya - Lliures per Europa,,,9,7257,
202112,Gheorghe-Vlad,NISTOR,1,2019-12-02,,1954-07-25,ro,,EPP,Partidul Naţional Liberal,,,9,7255,
202073,Marc,ANGEL,1,2019-12-10,,1963-03-12,lu,,S&D,Parti ouvrier socialiste luxembourgeois,,,9,7254,xv4
202036,Sunčana,GLAVAK,1,2019-12-01,,1968-12-09,hr,,EPP,Hrvatska demokratska zajednica,,,9,7253,1v2
199996,Isabel,CARVALHAIS,1,2019-09-03,,1973-02-28,pt,,S&D,Partido Socialista,,,9,7252,3v1
199941,Marianne,VIND,1,2019-07-02,,1970-12-03,dk,,S&D,Socialdemokratiet,,,9,7251,5v0
198490,Emmanouil,FRAGKOS,1,2019-07-10,,1993-06-27,gr,,ECR,Elliniki Lusi-Greek Solution,,,9,7250,7uz
198329,Estrella,DURÁ FERRANDIS,1,2019-07-02,,1963-09-22,es,,S&D,Partido Socialista Obrero Español,,,9,7248,
198183,Mihai,TUDOSE,1,2019-07-02,,1967-03-06,ro,,S&D,Partidul Social Democrat,,,9,7247,htv
198176,Roman,HAIDER,1,2019-07-02,,1967-04-13,at,,ID,Freiheitliche Partei Österreichs,,,9,7246,9nj
198096,Mazaly,AGUILAR,1,2019-07-02,,1949-09-20,es,,ECR,VOX,,,9,7244,
198063,Márton,GYÖNGYÖSI,1,2019-07-02,,1977-06-08,hu,,NA,Jobbik – Konzervatívok,,,9,7243,hnf
197935,Ivan Vilibor,SINČIĆ,1,2019-07-02,,1990-08-28,hr,,NA,KLJUČ Hrvatske,,,9,7242,7t0
197894,László,TRÓCSÁNYI,1,2019-07-02,,1956-03-06,hu,,NA,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,,9,7241,ntt
197889,Grace,O'SULLIVAN,1,2019-07-02,,1962-03-08,ie,,Greens/EFA,Green Party,,,9,7240,jrd
197870,Kim,VAN SPARRENTAK,1,2019-07-02,,1989-10-16,nl,,Greens/EFA,GroenLinks,,,9,7237,8tz
197869,Liesje,SCHREINEMACHER,1,2019-07-02,2022-01-09,1983-05-13,nl,,Renew,Volkspartij voor Vrijheid en Democratie,,,9,7236,
197868,Samira,RAFAELA,1,2019-07-02,,1989-02-11,nl,,Renew,Democraten 66,,,9,7235,
197863,Maria,WALSH,1,2019-07-02,,1987-06-11,ie,,EPP,Fine Gael Party,,,9,7233,nu9
197849,Andrey,SLABAKOV,1,2019-07-02,,1960-08-13,bg,,ECR,VMRO,,,9,7231,
197848,Atidzhe,ALIEVA-VELI,1,2019-07-02,,1981-09-18,bg,,Renew,Movement for Rights and Freedoms,,,9,7230,
197846,Ivo,HRISTOV,1,2019-07-02,,1970-10-08,bg,,S&D,Bulgarian Socialist Party,,,9,7229,
197845,Tsvetelina,PENKOVA,1,2019-07-02,,1988-02-19,bg,,S&D,Bulgarian Socialist Party,,,9,7228,yrp
197844,Petar,VITANOV,1,2019-07-02,,1982-04-18,bg,,S&D,Bulgarian Socialist Party,,,9,7227,
197843,Andrius,KUBILIUS,1,2019-07-02,,1956-12-08,lt,,EPP,Tėvynės sąjunga-Lietuvos krikščionys demokratai,,,9,7226,bq0
197842,Elena,YONCHEVA,1,2019-07-02,,1964-05-27,bg,,S&D,Bulgarian Socialist Party,,,9,7225,
197841,Liudas,MAŽYLIS,1,2019-07-02,,1954-05-19,lt,,EPP,Tėvynės sąjunga-Lietuvos krikščionys demokratai,,,9,7224,jqw
197840,Rasa,JUKNEVIČIENĖ,1,2019-07-02,,1958-01-26,lt,,EPP,Tėvynės sąjunga-Lietuvos krikščionys demokratai,,,9,7223,1p5
197839,Radan,KANEV,1,2019-07-02,,1975-09-30,bg,,EPP,Democrats for Strong Bulgaria,,,9,7222,ppc
197838,Juozas,OLEKAS,1,2019-07-02,,1955-10-30,lt,,S&D,Lietuvos socialdemokratų partija,,,9,7221,crg
197837,Stasys,JAKELIŪNAS,1,2019-07-02,,1958-10-02,lt,,Greens/EFA,Independent,,,9,7220,
197836,Alexander,ALEXANDROV YORDANOV,1,2019-07-02,,1952-02-13,bg,,EPP,Union of Democratic Forces,,,9,7219,
197835,Aušra,SEIBUTYTĖ,1,2019-07-02,,1958-06-04,lt,,EPP,Tėvynės sąjunga-Lietuvos krikščionys demokratai,,,9,7218,
197832,Diana,RIBA I GINER,1,2019-07-02,,1975-02-21,es,,Greens/EFA,Esquerra Republicana de Catalunya,,,9,7217,s160
197831,Hermann,TERTSCH,1,2019-07-02,,1958-04-09,es,,ECR,VOX,,,9,7216,
197829,Jorge,BUXADÉ VILLALBA,1,2019-07-02,,1975-06-16,es,,ECR,VOX,,,9,7214,dk1
197828,Manu,PINEDA,1,2019-07-02,,1965-09-02,es,,GUE/NGL,Izquierda Unida,,,9,7213,krv
197827,Idoia,VILLANUEVA RUIZ,1,2019-07-02,,1980-07-17,es,,GUE/NGL,PODEMOS,,,9,7212,
197826,Matteo,ADINOLFI,1,2019-07-02,,1963-12-24,it,,ID,Lega,,,9,7211,
197825,Raffaele,STANCANELLI,1,2019-07-02,,1950-06-30,it,,ECR,FRATELLI D' ITALIA,,,9,7210,
197824,Giuseppe,MILAZZO,1,2019-07-02,,1977-08-21,it,,ECR,FRATELLI D' ITALIA,,,9,7209,
197822,Francesca,DONATO,1,2019-07-02,,1969-08-25,it,,NA,Democrazia Cristiana,,,9,7207,
197820,Nicola,PROCACCINI,1,2019-07-02,,1976-01-21,it,,ECR,FRATELLI D' ITALIA,,,9,7205,
197819,Alexis,GEORGOULIS,1,2019-07-02,,1974-10-06,gr,,NA,Independent,,,9,7204,
197818,Billy,KELLEHER,1,2019-07-02,,1968-01-20,ie,,Renew,Fianna Fáil Party,,,9,7203,epg
197817,Mick,WALLACE,1,2019-07-02,,1955-11-09,ie,,GUE/NGL,Independents for change,,,9,7202,kub
197816,Naomi,LONG,1,2019-07-02,2020-01-31,,gb,,Renew,Alliance Party of Northern Ireland,,,9,7201,
197815,Sheila,RITCHIE,1,2019-07-02,2020-01-31,,gb,,Renew,Liberal Democrats,,,9,7200,
197814,Louis,STEDMAN-BRYCE,1,2019-07-02,2020-01-31,,gb,,NI,Independent,,,9,7199,
197813,Jake,PUGH,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7198,
197812,Magid,MAGID,1,2019-07-02,2020-01-31,,gb,,Greens/EFA,Green Party,,,9,7197,
197811,Shaffaq,MOHAMMED,1,2019-07-02,2020-01-31,,gb,,Renew,Liberal Democrats,,,9,7196,
197810,Nils,UŠAKOVS,1,2019-07-02,,1976-06-08,lv,,S&D,"""Saskaņa"" sociāldemokrātiskā partija",,,9,7195,
197809,Lucy Elizabeth,HARRIS,1,2019-07-02,2020-01-31,,gb,,ECR,The Brexit Party,,,9,7194,
197808,Pietro,BARTOLO,1,2019-07-02,,1956-02-10,it,,S&D,Partito Democratico,,,9,7193,zhs
197807,John,LONGWORTH,1,2019-07-02,2020-01-31,,gb,,ECR,The Brexit Party,,,9,7192,
197806,Annalisa,TARDINO,1,2019-07-02,,1979-04-30,it,,ID,Lega,,,9,7191,
197805,Silvia,MODIG,1,2019-07-02,,1976-07-08,fi,,GUE/NGL,Vasemmistoliitto,,,9,7190,
197804,Dino,GIARRUSSO,1,2019-07-02,,1974-09-11,it,,NA,Independent,,,9,7189,
197803,Andrew,ENGLAND KERR,1,2019-07-02,2020-01-31,,gb,,NI,Independent,,,9,7188,
197802,Ville,NIINISTÖ,1,2019-07-02,,1976-07-30,fi,,Greens/EFA,Vihreä liitto,,,9,7187,prb
197801,Franco,ROBERTI,1,2019-07-02,,1947-11-16,it,,S&D,Partito Democratico,,,9,7186,
197800,Eero,HEINÄLUOMA,1,2019-07-02,,1955-07-04,fi,,S&D,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,,,9,7185,xnr
197799,Valentino,GRANT,1,2019-07-02,,1964-04-21,it,,ID,Lega,,,9,7184,
197798,Lucia,VUOLO,1,2019-07-02,,1963-02-15,it,,EPP,Forza Italia,,,9,7183,su7
197797,Andrea,CAROPPO,1,2019-07-02,2022-10-12,1979-06-26,it,,EPP,Forza Italia,,,9,7182,
197796,Massimo,CASANOVA,1,2019-07-02,,1970-08-31,it,,ID,Lega,,,9,7181,
197795,Mario,FURORE,1,2019-07-02,,1988-12-25,it,,NA,Movimento 5 Stelle,,,9,7180,2mp
197794,Chiara,GEMMA,1,2019-07-02,,1968-09-20,it,,ECR,FRATELLI D' ITALIA,,,9,7179,
197792,Daniela,RONDINELLI,1,2019-07-02,,1967-08-19,it,,S&D,Partito Democratico,,,9,7177,dsf
197791,Massimiliano,SMERIGLIO,1,2019-07-02,,1966-05-08,it,,NA,Alleanza Verdi e Sinistra,,,9,7176,1t3
197790,Luisa,REGIMENTI,1,2019-07-02,2023-04-03,1958-06-05,it,,EPP,Forza Italia,,,9,7175,
197789,Simona,BALDASSARRE,1,2019-07-02,2023-04-02,1970-11-12,it,,ID,Lega,,,9,7174,
197788,Anna,BONFRISCO,1,2019-07-02,,1962-10-12,it,,ID,Lega,,,9,7172,bjk
197787,Antonio Maria,RINALDI,1,2019-07-02,,1955-02-27,it,,ID,Lega,,,9,7171,
197786,Susanna,CECCARDI,1,2019-07-02,,1987-03-19,it,,ID,Lega,,,9,7170,
197785,Eugenia,RODRÍGUEZ PALOP,1,2019-07-02,,1970-03-09,es,,GUE/NGL,PODEMOS,,,9,7169,
197784,Susana,SOLÍS PÉREZ,1,2019-07-02,,1971-12-21,es,,Renew,Ciudadanos – Partido de la Ciudadanía,,,9,7168,zt4
197783,Andris,AMERIKS,1,2019-07-02,,1961-03-05,lv,,S&D,Gods kalpot Rīgai,,,9,7167,
197782,Mohammed,CHAHIM,1,2019-07-02,,1985-04-18,nl,,S&D,Partij van de Arbeid,,,9,7166,skc
197781,Malik,AZMANI,1,2019-07-02,,1976-01-20,nl,,Renew,Volkspartij voor Vrijheid en Democratie,,,9,7165,74td
197780,Bart,GROOTHUIS,1,2020-02-01,,1981-01-01,nl,,Renew,Volkspartij voor Vrijheid en Democratie,,,9,7164,kvt
197779,José Ramón,BAUZÁ DÍAZ,1,2019-07-02,,1970-11-16,es,,Renew,Ciudadanos – Partido de la Ciudadanía,,,9,7163,
197778,Tom,BERENDSEN,1,2019-07-02,,1983-04-11,nl,,EPP,Christen Democratisch Appèl,,,9,7162,7j4
197777,Leopoldo,LÓPEZ GIL,1,2019-07-02,,1944-10-20,es,,EPP,Partido Popular,,,9,7161,
197776,Rob,ROOKEN,1,2019-07-02,,1969-10-05,nl,,ECR,Independent,,,9,7160,
197773,Bert-Jan,RUISSEN,1,2019-07-02,,1972-03-22,nl,,ECR,Staatkundig Gereformeerde Partij,,,9,7157,3sk
197772,Tineke,STRIK,1,2019-07-02,,1961-09-28,nl,,Greens/EFA,GroenLinks,,,9,7156,pt9
197771,Vladimír,BILČÍK,1,2019-07-02,,1975-05-27,sk,,EPP,Independent,,,9,7155,
197770,Martin,HOJSÍK,1,2019-07-02,,1977-01-27,sk,,Renew,Progresívne Slovensko,,,9,7154,pnv
197769,Michal,WIEZIK,1,2019-07-02,,1979-06-14,sk,,Renew,Progresívne Slovensko,,,9,7153,3uj
197767,Eugen,JURZYCA,1,2019-07-02,,1958-02-08,sk,,ECR,Sloboda a Solidarita,,,9,7151,vp8
197766,Lucia,ĎURIŠ NICHOLSONOVÁ,1,2019-07-02,,1976-11-28,sk,,Renew,Independent,,,9,7150,
197765,Peter,POLLÁK,1,2019-07-02,,1973-04-20,sk,,EPP,Obyčajní ľudia a nezávislé osobnosti,,,9,7149,8s0
197764,Miroslav,RADAČOVSKÝ,1,2019-07-02,,1953-09-24,sk,,NA,Slovak PATRIOT,,,9,7148,4s2
197763,Milan,UHRÍK,1,2019-07-02,,1984-12-21,sk,,NA,Hnutie Republika,,,9,7147,ftw
197761,Miroslav,ČÍŽ,1,2019-07-02,2022-12-29,1954-02-11,sk,,S&D,SMER-Sociálna demokracia,,,9,7145,
197760,Martin Edward,DAUBNEY,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7144,
197759,Rupert,LOWE,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7143,
197758,Jackie,JONES,1,2019-07-02,2020-01-31,,gb,,S&D,Labour Party,,,9,7142,
197757,James,WELLS,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7141,
197756,Vera,TAX,1,2019-07-02,,1972-02-08,nl,,S&D,Partij van de Arbeid,,,9,7140,
197755,Martin,HORWOOD,1,2019-07-02,2020-01-31,,gb,,Renew,Liberal Democrats,,,9,7139,
197754,Sandra,PEREIRA,1,2019-07-02,,1977-03-18,pt,,GUE/NGL,Partido Comunista Português,,,9,7138,
197752,Christina Sheila,JORDAN,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7136,
197751,James Alexander,GLANCY,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7134,
197749,Caroline,VOADEN,1,2019-07-02,2020-01-31,,gb,,Renew,Liberal Democrats,,,9,7132,
197746,Álvaro,AMARO,1,2019-07-02,2023-07-06,1953-05-25,pt,,EPP,Partido Social Democrata,,,9,7129,
197744,Ann,WIDDECOMBE,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7127,
197743,Petros,KOKKALIS,1,2019-07-02,,1970-02-26,gr,,Greens/EFA,KOSMOS,,,9,7126,wpr
197742,Isabel,GARCÍA MUÑOZ,1,2019-07-02,,1977-03-03,es,,S&D,Partido Socialista Obrero Español,,,9,7125,
197740,Athanasios,KONSTANTINOU,1,2019-07-02,,1959-07-18,gr,,NA,Independent,,,9,7123,
197739,Judith,BUNTING,1,2019-07-02,2020-01-31,,gb,,Renew,Liberal Democrats,,,9,7121,
197738,Lídia,PEREIRA,1,2019-07-02,,1991-07-26,pt,,EPP,Partido Social Democrata,,,9,7120,
197737,Ioannis,LAGOS,1,2019-07-02,,1972-09-07,gr,,NA,Independent,,,9,7119,
197736,Belinda,DE LUCY,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7118,
197735,Adriana,MALDONADO LÓPEZ,1,2019-07-02,2023-08-16,1990-01-09,es,,S&D,Partido Socialista Obrero Español,,,9,7117,
197734,Lefteris,NIKOLAOU-ALAVANOS,1,2019-07-02,,1985-02-07,gr,,NA,Communist Party of Greece,,,9,7116,
197733,Robert,ROWLAND,1,2019-07-02,2020-01-31,,gb,,NI,The Brexit Party,,,9,7115,
197732,Manuel,PIZARRO,1,2019-07-02,2022-09-09,1964-02-02,pt,,S&D,Partido Socialista,,,9,7114,
197731,Clare,DALY,1,2019-07-02,,1968-04-11,ie,,GUE/NGL,Independents for change,,,9,7113,xks
197730,Antony,HOOK,1,2019-07-02,2020-01-31,,gb,,Renew,Liberal Democrats,,,9,7112,
197728,Mónica Silvana,GONZÁLEZ,1,2019-07-02,,1976-02-12,es,,S&D,Partido Socialista Obrero Español,,,9,7111,
197722,Nacho,SÁNCHEZ AMOR,1,2019-07-02,,1960-05-15,es,,S&D,Partido Socialista Obrero Español,,,9,7110,p7m5
197721,César,LUENA,1,2019-07-02,,1980-10-29,es,,S&D,Partido Socialista Obrero Español,,,9,7109,
197720,Frances,FITZGERALD,1,2019-07-02,,1950-08-07,ie,,EPP,Fine Gael Party,,,9,7108,
197719,Cristina,MAESTRE MARTÍN DE ALMAGRO,1,2019-07-02,,1975-07-27,es,,S&D,Partido Socialista Obrero Español,,,9,7107,5qk
197718,Nicolás,GONZÁLEZ CASARES,1,2019-07-02,,1972-07-20,es,,S&D,Partido Socialista Obrero Español,,,9,7106,4n4
197717,Ibán,GARCÍA DEL BLANCO,1,2019-07-02,,1977-02-08,es,,S&D,Partido Socialista Obrero Español,,,9,7105,
